"Artcle-URI","Article-Title","Condition-Extracted-Western","Normalized-Condition-Western","Condition-Extracted-TCM","Normalized-Condition-TCM","Comment from TEAM-Core","MONDO-OR-HP-Term","Exact-OR-Synonym","MONDO-OR-HP-Term-URI","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/16136935.0/","Acupuncture and Chinese Patent Drugs For Chronic Fatigue Syndrome","Chronic Fatigue Syndrome","Chronic Fatigue Syndrome","1. Incoordination between the liver and spleen 2. Qi insufficiency of the spleen and stomach 3. Deficiency of both the heart and spleen 4. Yin deficiency of the liver and kidney 5. Yang insufficiency of the spleen and kidney","1. Incoordination between the liver and spleen 2. Qi insufficiency of the spleen and stomach 3. Deficiency of both the heart and spleen 4. Yin deficiency of the liver and kidney 5. Yang insufficiency of the spleen and kidney","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/16136936.0/","Clinical Observation on Treatment of Auditory Hallucinosis by Electroacupuncture A Report of 30 Cases","Auditory hallucinosis","Auditory hallucinosis","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/16170293.0/","Acupuncture versus pharmacological approach to reduce Hyperemesis gravidarum discomfort","Hyperemesis gravidarum (HG)","Hyperemesis gravidarum (HG)","Not specified (the paper does not explicitly mention a TCM term for the condition)","Not specified (the paper does not explicitly mention a TCM term for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/16208302.0/","The effect of acupuncture and moxibustion on physical performance by sedentary subjects submitted to ergospirometric test on the treadmill","Not specified (the paper focuses on sedentary habits and fatigue, but does not specify a primary medical condition or disease)","sedentary human volunteers","Not specified (the paper does not explicitly mention a TCM disease or condition)","Not specified (the paper does not explicitly mention a TCM disease or condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/16334714.0/","Forty six Cases ofthe Nerve Root Involved Cervical Spondylopathy Treated by Needling the Sitian Points","Nerve root involved cervical spondylopathy","Nerve root involved cervical spondylopathy","Nerve root involved cervical spondylopathy","","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/16334715.0/","Treatment of Heroinism with Acupunture at Points of the Du Channel","Heroin addiction (heroinism)","Heroin addiction (heroinism)","Not specified (the paper does not explicitly mention the disease or condition in Traditional Chinese Medicine terminology)","Not specified (the paper does not explicitly mention the disease or condition in Traditional Chinese Medicine terminology)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/16334716.0/","Acupuncture Treatment for 15 Cases of Post traumatic Coma","Post traumatic Coma","Post traumatic Coma","Post traumatic Coma","","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/16334718.0/","Clinical studies on treatment of chronic prostatitis with acupuncture and mild moxibustion","Chronic prostatitis","Chronic prostatitis","Chronic prostatitis due to damp heat, stagnation of blood stasis and deficiency of the kidney.","Chronic prostatitis due to damp heat, stagnation of blood stasis and deficiency of the kidney.","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/16334720.0/","Effects of the Combined Therapy of Acupuncture with Herbal Drugs on Male Immune Infertility A Clinical Report of 50 Cases","Male immune infertility","Male immune infertility","Not specified (the paper implies a deficiency pattern related to male immune infertility but does not explicitly state the TCM term)","Not specified (the paper implies a deficiency pattern related to male immune infertility but does not explicitly state the TCM term)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/16447661.0/","The Brain Resuscitation Acupuncture Method for Treatment of Post Wind Stroke Mental Depression","Post stroke mental depression","Post stroke mental depression","Not specified (the paper does not explicitly state a TCM term for the condition)","Not specified (the paper does not explicitly state a TCM term for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/16447664.0/","Effects of the Lifting Manipulation of Scalp Acupuncture for Raising Myodynamia of the Affected Limbs in Hemiplegic Patients Due to Cerebral Thrombosis","Hemiplegia due to cerebral thrombosis","Hemiplegia due to cerebral thrombosis","Not specified (the paper does not explicitly state the TCM term for the condition)","Not specified (the paper does not explicitly state the TCM term for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/16447665.0/","Acupuncture Treatment for Multiple AortitisA Clinical Report of 40 Cases","Multiple Aortitis","Multiple Aortitis","Aortitis (internally caused by congenital defects and acquired malnutrition, externally by cold dampness and heat toxin; characterized by invasion of channels by pathogenic factors and weak constitution)","Aortitis (internally caused by congenital defects and acquired malnutrition, externally by cold dampness and heat toxin; characterized by invasion of channels by pathogenic factors and weak constitution)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/16447666.0/","Acupuncture Treatment for 76 Cases of Ulcerative Colitis","Ulcerative colitis","Ulcerative colitis","Not specified (the paper does not provide TCM terminology for the condition)","Not specified (the paper does not provide TCM terminology for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/16447669.0/","Needling Neiguan (P6) for Treatment of Low Pulse Pressure Syndrome —A Report of 31 Cases","Low pulse pressure syndrome","Low pulse pressure syndrome","Not specified (the paper does not explicitly state the TCM term for the condition)","Not specified (the paper does not explicitly state the TCM term for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/16562383.0/","Acupuncture for Urinary Urgency In Women Over 50: What Is the Evidence?","Urinary Urgency (UU) and Urge Urinary Incontinence (UUI)","Urinary Urgency (UU) and Urge Urinary Incontinence (UUI)","Not specified (the paper does not explicitly mention any Traditional Chinese Medicine (TCM) terminology or conditions)","Not specified (the paper does not explicitly mention any Traditional Chinese Medicine (TCM) terminology or conditions)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/16579094.0/","Ear Acupuncture Therapy for 37 Cases of Dysmenorrhea due to Endometriosis","Endometriosis with a focus on dysmenorrhea","Endometriosis with a focus on dysmenorrhea","Endometriosis with dysmenorrhea","Endometriosis with dysmenorrhea","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/16579095.0/","Treatment of functional retrograde ejaculation with acupuncture and TCM herbal drugs","Functional Retrograde Ejaculation","Functional Retrograde Ejaculation","Functional retrograde ejaculation due to imbalance between yin and yang following deficiency of kidney qi","Functional retrograde ejaculation due to imbalance between yin and yang following deficiency of kidney qi","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/16705841.0/","A Multicentral Randomized Control Study on Clinical Acupuncture Treatment of Bell's Palsy","Bell's palsy","Bell's palsy","Not specified (the paper does not provide a TCM specific term for Bell's palsy)","Not specified (the paper does not provide a TCM specific term for Bell's palsy)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/16705843.0/","Clinical Study on the Wrist Ankle Acupuncture Treatment for 30 Cases of Diabetic Peripheral Neuritis","Diabetic Peripheral Neuritis","Diabetic Peripheral Neuritis","Not specified (the paper does not explicitly mention the disease or condition in Traditional Chinese Medicine (TCM) terminology)","Not specified (the paper does not explicitly mention the disease or condition in Traditional Chinese Medicine (TCM) terminology)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/16705846.0/","The TCM Combined Treatment for Aphasia Due to Cerebrovascular Disorders","Aphasia due to cerebrovascular disorders","Aphasia due to cerebrovascular disorders","Not specified (the paper does not provide a specific TCM term for the condition)","Not specified (the paper does not provide a specific TCM term for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/16705847.0/","Acupuncture plus Point injection for 32 Cases of Obstinate Urticaria","Obstinate Urticaria","Obstinate Urticaria","Not specified (the paper does not mention a TCM disease or condition)","Not specified (the paper does not mention a TCM disease or condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/16817264.0/","An Observation on the Acupuncture Treatment of Ischemic Wind Stroke with Different Lengths of Needle retaining Time","Ischemic wind stroke","Ischemic stroke","Wind stroke","Wind stroke","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/16817265.0/","Effect of ""Phased Whole Acupuncture Therapy"" on Ability of Daily Life in 63 Cases of Cerebral Infarction induced Hemiplegia","Cerebral infarction induced hemiplegia","Cerebral infarction induced hemiplegia","Not specified (the paper does not provide a specific TCM term for the condition)","Not specified (the paper does not provide a specific TCM term for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/16817274.0/","Clinical Observation on Senile Patients with Impaired Glucose Tolerance Treated by Point Application","Impaired glucose tolerance (IGT)","Impaired glucose tolerance (IGT)","Not specified (the paper does not provide a TCM term for the condition)","Not specified (the paper does not provide a TCM term for the condition)","","","","","","","","","","","","","","","","","","","","","","",""
